rank;name;country;1000;2000;total;1000-2000;2000-3000;speed
1;BRENNAUER Lisa;GER;1:11.380 (2);2:17.945 (1);03:25.70;1:06.565 (1);1:07.752 (2);52.504
2;ANKUDINOFF Ashlee;AUS;1:12.754 (6);2:19.389 (2);03:25.92;1:06.635 (2);1:06.532 (1);52.447
3;KLEIN Lisa;GER;1:11.964 (3);2:19.399 (3);03:27.67;1:07.435 (5);1:08.271 (4);52.006
4;JAMES Kirstie;NZL;1:13.305 (10);2:20.300 (6);03:28.41;1:06.995 (3);1:08.107 (3);51.822
5;BOTHA Bryony;NZL;1:12.692 (5);2:20.268 (5);03:29.28;1:07.576 (6);1:09.013 (5);51.605
6;FOREMAN-MACKEY Annie;CAN;1:12.912 (8);2:20.229 (4);03:30.86;1:07.317 (4);1:10.635 (7);51.218
7;BRAUSSE Franziska;;01:12.57;2:20.855 (7);03:31.25;1:08.285 (7);1:10.397 (6);51.124
8;DICKINSON Eleanor;GBR;1:13.658 (12);2:22.762 (9);03:34.15;1:09.104 (8);1:11.387 (9);50.432
9;KACZKOWSKA Justyna;POL;1:11.140 (1);2:21.123 (8);03:35.63;1:09.983 (10);1:14.512 (16);50.085
10;NELSON Emily;GBR;1:12.818 (7);2:22.993 (10);03:36.56;1:10.175 (11);1:13.570 (13);49.87
11;SHARAKOVA Tatsiana;BLR;1:13.709 (14);2:23.904 (12);03:37.17;1:10.195 (12);1:13.266 (12);49.731
12;VALSECCHI Silvia;ITA;1:13.446 (11);2:24.317 (13);03:37.34;1:10.871 (13);1:13.021 (11);49.692
13;KIM Youri;KOR;1:13.704 (13);2:23.517 (11);03:38.01;1:09.813 (9);1:14.496 (15);49.538
14;le NET Marie;FRA;1:14.084 (17);2:25.700 (16);03:38.50;1:11.616 (15);1:12.803 (10);49.427
15;FRAPPORTI Simona;ITA;1:13.168 (9);2:24.855 (14);03:39.02;1:11.687 (16);1:14.163 (14);49.311
16;SALAUYEVA Aksana;BLR;1:13.726 (15);2:25.169 (15);03:40.74;1:11.443 (14);1:15.574 (18);48.926
17;LEE Jumi;KOR;1:13.977 (16);2:26.208 (17);03:41.03;1:12.231 (18);1:14.819 (17);48.863
18;MA Menglu;CHN;1:16.300 (20);2:29.895 (19);03:41.12;1:13.595 (19);1:11.221 (8);48.843
19;BORRAS Marion;FRA;1:14.987 (18);2:26.699 (18);03:42.68;1:11.712 (17);1:15.982 (19);48.5
20;YANG Qianyu;HKG;1:15.777 (19);2:31.561 (20);03:48.63;1:15/784;1:17.070 (20);47.238
