Rank,Name ,Country
1,VALENTE Jennifer,USA
2,WILD Kirsten,NED
3,PATERNOSTER Letizia,ITA
4,SALAZAR VAZQUEZ Lizbeth Y.,MEX
5,DIDERIKSEN Amalie,DEN
6,BERTHON Laurie,FRA
7,KAJIHARA Yumi,JPN
8,WALDIS Andrea,SUI
9,ARCHIBALD Katie,GBR
10,STENBERG Anita Yvonne,NOR
11,BACIKOVA Alzbeta,SVK
12,WANG Xiaofei,CHN
13,MARTINS Maria,POR
14,EDMONDSON Annette,AUS
15,BEVERIDGE Allison,CAN
16,PIKULIK Daria,POL
17,McCURLEY Shannon,IRL
18,BUCHANAN Rushlee,NZL
19,BALEISYTE Olivija,LTU
20,USABIAGA BALERDI Ana,ESP
21,HUANG Ting Ying,TPE
22,KOPECKY Lotte,BEL
23,GONCHAROVA Alexandra,RUS
24,SAVENKA Ina,BLR
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
