rance Number;Name;NAT;Time 250m;rank 250m;time all;speed;Time 500m;Rank 500m
353;353 SHMELEVA Daria;RUS;18.664;1;33.012;54.526;14.348;1
378;378 STARIKOVA Olena;UKR;18.91;4;33.307;54.043;14.397;2
90;98 McCULLOCH Kaarle;AUS;18.842;2;33.419;53.862;14.577;5
219;219 WELTE Miriam;GER;18.862;3;33.431;53.842;14.569;4
286;286 SALAZAR VALLES Jessica;MEX;19.134;6;33.826;53.214;14.692;6
297;297 LAMBERINK Kyra;NED;19.062;5;33.972;52.985;14.91;8
214;214 FRIEDRICH Lea Sophie;GER;19.43;8;33.997;52.946;14.567;3
249;249 VECE Miriam;ITA;19.343;7;34.247;52.559;14.904;7
144;144 LIN Junhong;CHN;;;;;;
327;327 Los Urszula;POL;;;;;;
287;287 VERDUGO OSUNA Yuli Paola;MEX;;;;;;
246;346 ANTONOVA Natalia;RUS;;;;;;
165;165 CALVO BARBERO Tania;ESP;;;;;;
187;197 MARCHANT Katy;GBR;;;;;;
215;215 GRABOSCH Pauline Sophie;GER;;;;;;
166;166 CASAS ROIGE Helena;ESP;;;;;;
299;299 van de WOUW Hetty;NED;;;;;;
142;142 GUO Yufang;CHN;;;;;;
150;150 BAYONA PINEDA Martha;COL;;;;;;
352;352 ROGOVAYA Ekaterina;RUS;;;;;;
388;388 MARQUARDT Mandy;USA;;;;;;
199;199 WILLIAMSON Victoria;GBR;;;;;;
228;228 DWI PUTRI Crismonita;INA;;;;;;
307;307 ANDREWS Ellesse;NZL;;;;;;
333;333 du PREEZ Charlene;RSA;;;;;;
225;225 LI Yin Yin;HKG;;;;;;
