heat,name,country,country,speed
1,MARCHANT Katy,GBR,11.242,64046
1,226 LEE Wai Sze,HKG,0.035,
1,361 BASOVA Liubov,UKR,0.132,
1,276 KRUPECKAITE Simona,LTU,0.199,
1,346 VOINOVA Anastasiia,RUS,0.417,
2,110 DEGRENDELE Nicky,BEL,11.108,64818
2,273 LEE Hyejin,KOR,0.082,
2,267 OHTA Riyu,JPN,0.295,
2,319 LOS Urszula,POL,0.367,
2,225 LEE Hoi Yan Jessica,HKG,0.377,
3,291 BRASPENNINCX Shanne,NED,10.753,66958
3,101 MORTON Stephanie,AUS,0.024,
3,146 BAYONA PINEDA Martha,COL,0.077,
3,307 HANSEN Natasha,NZL,0.105,
3,164 CASAS ROIGE Helena,ESP,0.453,
4,214 FRIEDRICH Lea Sophie,GER,11.312,63649
4,304 ANDREWS Ellesse,NZL,0.07,
4,130 MITCHELL Kelsey,CAN,0.178,
4,181 GROS Mathilde,FRA,0.313,
4,345 SHMELEVA Daria,RUS,2.907,
4,295 van RIESSEN Laurine,NED,DNF,
5,216 HINZE Emma,GER,10.892,66104
5,367 GODBY Madalyn,USA,0.088,
5,265 KOBAYASHI Yuka,JPN,0.175,
5,129 GENEST Lauriane,CAN,0.398,
5,327 du PREEZ Charlene,RSA,0.807,
5,310 PODMORE Olivia,NZL,0.982,
