heat,name,country,time,speed
1,214 FRIEDRICH Lea Sophie,GER,11.293,63756
1,273 LEE Hyejin,KOR,0.042,
1,199 MARCHANT Katy,GBR,0.106,
1,295 van RIESSEN Laurine,NED,0.124,
1,346 VOINOVA Anastasiia,RUS,0.193,
1,164 CASAS ROIGE Helena,ESP,0.209,
2,216 HINZE Emma,GER,11.217,64188
2,101 MORTON Stephanie,AUS,0.09,
2,307 HANSEN Natasha,NZL,0.194,
2,110 DEGRENDELE Nicky,BEL,0.228,
2,146 BAYONA PINEDA Martha,COL,0.276,
2,129 GENEST Lauriane,CAN,0.367,
3,226 LEE Wai Sze,HKG,11.34,63492
3,367 GODBY Madalyn,USA,0.05,
3,304 ANDREWS Ellesse,NZL,0.067,
3,181 GROS Mathilde,FRA,0.086,
3,291 BRASPENNINCX Shanne,NED,0.096,
3,130 MITCHELL Kelsey,CAN,0.19,
,,,,
,,,,
,,,,
,,,,
