KAJIHARA Yumi,JPN,,
VALENTE Jennifer,USA,,
COPPONI Clara,FRA,,
MARTINS Maria,POR,,
PATERNOSTER Letizia,ITA,,
PIKULIK Daria,POL,,
WANG Xiaofei,CHN,,
BAKER Georgia,AUS,,
BOYLAN Lydia,IRL,,
rank,name,country,laps down
1,LEE Sze Wing,HKG,
2,D'HOORE Jolien,BEL,
3,STENBERG Anita Yvonne,NOR,
4,ZABELINSKAYA Olga,UZB,
5,BALEISYTE Olivija,LTU,
6,DIDERIKSEN Amalie,DEN,
7,WALDIS Andrea,SUI,
8,EDMONDSTON Holly,NZL,
9,SHARAKOVA Tatsiana,BLR,
10,WILD Kirsten,NED,REL
11,BEVERIDGE Allison,CAN,DNF
12,KENNY Laura,GBR,DNF
13,SULTANOVA Rinata,KAZ,DNF
14,SALAZAR VAZQUEZ Lizbeth Yareli,MEX,DNF
15,HUANG Ting Ying,TPE,DNF
