1,,173,LAFARGUE Quentin,,,59.324,Q
2,,288,LIGTLEE Sam,,,+0.266,Q
3,,168,D'ALMEIDA Michael,,,+0.650,Q
4,,123,de HAITRE Vincent,,,+0.694,Q
5,,283,BOS Theo,,,+0.709,Q
6,,202,DORNBACH Maximilian,,,+0.908,Q
7,,279,MOHD ZONIS Muhammad Fadhil,,,+0.981,Q
8,,301,KERGOZOU Nicholas,,,+0.987,Q
9,,148,BABEK Tomas,,,+1.126,
10,,203,EILERS Joachim,,,+1.347,
11,,174,LANDERNEAU Melvin,,,+1.437,
12,,145,RAMIREZ MORALES Santiago,,,+1.502,
13,,243,LAMON Francesco,,,+1.553,
14,,93,PORTER Alexander,,,+1.636,
15,,95,SCOTT Cameron,,,+1.733,
16,,296,DAKIN Samuel,,,+1.880,
17,,160,MORENO SANCHEZ Jose,,,+2.007,
18,,268,CHUGAY Andrey,,,+2.335,
19,,222,LAW Tsz Chun,,,+2.676,
20,,134,LUO Yongjia,,,+3.306,
21,,240,CECI Francesco,,,+3.407,
22,,270,PONOMARYOV Sergey,,,+3.781,
-,,312,MAKSEL Krzysztof,,,DNS,
