rank;num;name;country;100;200;100-200;speed
1;291;HOOGLAND Jeffrey;NED;4.742 (1);4.830 (1);9.572;75.219
2;292;LAVREYSEN Harrie;NED;4.753 (3);4.831 (2);9.584;75.125
3;320;RUDYK Mateusz;POL;4.750 (2);4.834 (3);9.584;75.125
4;176;VIGIER Sebastien;FRA;4.799 (6);4.874 (4);9.673;74.434
5;88;GLAETZER Matthew;AUS;4.818 (8);4.888 (5);9.706;74.181
6;334;DMITRIEV Denis;RUS;4.827 (9);4.903 (6);9.73;73.998
7;89;HART Nathan;AUS;4.792 (4);4.941 (10);9.733;73.975
8;368;PAUL Nicholas;TTO;4.795 (5);4.956 (11);9.751;73.839
9;201;BOTTICHER Stefan;GER;4.840 (10);4.918 (7);9.758;73.786
10;191;TRUMAN Joseph;GBR;4.848 (12);4.919 (8);9.767;73.718
11;184;CARLIN Jack;GBR;4.860 (13);4.923 (9);9.783;73.597
12;362;TJON EN FA Jair;SUR;4.847 (11);4.958 (12);9.805;73.432
13;369;PHILLIP Njisane;TTO;4.807 (7);5.021 (22);9.828;73.26
14;168;CALEYRON Quentin;FRA;4.861 (14);4.978 (15);9.839;73.178
15;289;BUCHLI Matthijs;NED;4.868 (15);4.984 (17);9.852;73.082
16;227;SZALONTAY Sandor;HUN;4.873 (16);4.981 (16);9.854;73.067
17;153;KELEMEN Pavel;CZE;4.908 (22);4.970 (14);9.878;72.889
18;306;WEBSTER Sam;NZL;4.911 (23);4.969 (13);9.88;72.874
19;122;BARRETTE Hugo;CAN;;;9.884;72.845
20;304;MITCHELL Ethan;NZL;4.896 (19);5.006 (19);9.902;72.713
21;252;FUKAYA Tomohiro;JPN;4.882 (17);5.034 (23);9.916;72.61
22;202;DORNBACH Maximilian;GER;4.919 (24);4.998 (18);9.917;72.603
23;345;YAKUSHEVSKIY Pavel;RUS;4.883 (18);5.037 (24);9.92;72.581
24;137;XU Chao;CHN;4.906 (21);5.042 (26);9.948;72.376
25;258;WAKIMOTO Yuta;JPN;4.946 (26);5.006 (19);9.952;72.347
26;164;PERALTA GASCON Juan;ESP;4.962 (29);5.008 (21);9.97;72.217
27;279;LENDEL Vasilijus;LTU;4.903 (20);5.074 (27);9.977;72.166
28;148;QUINTERO CHAVARRO Kevin Santiago;COL;4.950 (28);5.040 (25);9.99;72.072
29;121;ARCHAMBAULT Joel;CAN;4.945 (25);5.075 (29);10.02;71.856
30;282;AWANG Mohd Azizulhasni;MAS;4.948 (27);5.074 (27);10.022;71.842
31;284;SAHROM Muhammad Shah Firdaus;MAS;4.969 (30);5.121 (30);10.09;71.358
32;332;SPIES Jean;RSA;5.051 (32);5.132 (31);10.183;70.706
33;266;NALYOTOV Maxim;KAZ;5.032 (31);5.155 (32);10.187;70.678
34;283;MOHD ZONIS Muhammad Fadhil;MAS;5.059 (33);5.183 (33);10.242;70.299
